product_id,product_title,rating,total_reviews,price,top_reviews
itm26222f33449ac,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,4.3,57,"₹79,999","5 Super! 2 years ago I was hesitating before buying it but when I it go... more Aditya  Raj Verified Buyer 80 6 || 5 Best purchase 2 years ago I have got it a month ago,still it was the best in... more Sanjeev Sabari S Verified Buyer 21 2 || 5 Awesome 2 years ago AWESOME, 
POWERFUL LAPTOP
AWESOME LOOK
AWESOME RGB... more SAKET JHA Verified Buyer 12 1"
itmd6d920cf123c3,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,4.4,137,"₹71,990","5 Fabulous! 8 months ago Nice laptop for student as well as office professi... more Omkar  Kanade Verified Buyer 46 5 || 5 Fabulous! 8 months ago Very much satisfied with the product and its perfo... more Shubham  Raut Verified Buyer 28 5 || 5 Wonderful 9 months ago Without any doubt in mind go for it.
Just osm prod... more ABHISHEK  RAI Verified Buyer 11 1"
itm3680fb576eb7b,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 / 15ALC6...,4.2,592,"₹63,999","4 Very Good 3 years ago I did a lot of research before buying this laptop ... more Alankrit Ghosh Verified Buyer 627 122 || 4 Delightful 4 years ago Good design
Good quality
Good keypad
Good touch pa... more Flipkart Customer Verified Buyer 140 27 || 4 Good quality product 4 years ago Nice one Senthil Verified Buyer 115 26"
itm118bd5b99bc51,Lenovo IdeaPad 3 Intel Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800LAIN Thin and ...,4.2,56,"₹37,890","5 Wonderful 3 years ago Good budget laptop I got it for 31k so go for it, ... more Prince  Gupta Verified Buyer 16 1 || 5 Perfect product! 3 years ago Excellent Product by Lenovo. Battery Backup is als... more Ritik  Singh Verified Buyer 31 6 || 5 Fabulous! 3 years ago I am writing this review after 10 days of use....
... more Sanjay Singh Verified Buyer 25 5"
itm7ecd736658657,Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7/ 15IGL7 Thin...,3.9,47,N/A,5 Simply awesome 3 years ago Cheap and best product GAURAV KUMAR  MANDAL Verified Buyer 138 24 || 3 Just okay 3 years ago This laptop very slow satya prakash Chaudhary Verified Buyer 12 0 || 5 Worth every penny 3 years ago Best laptop for this price...❣️❣️❣️❣️❣️ Lalit Kumar Verified Buyer 78 15
itmab007bf5f82a8,Lenovo IdeaPad Slim 3 with 1Year ADP AMD Ryzen 5 40 - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Laptop,4.7,2,"₹59,989",5 Mind-blowing purchase 2 months ago Good Product 👍 Sandeep Pathak Verified Buyer 14 1 || 4 Good choice 21 days ago Overall good sujoy Das Verified Buyer 4 0
itm91754fe81a6ee,Lenovo IdeaPad Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 83K100C6IN Thin and ...,4,0,"₹73,990",4 Good based on 7 ratings by Verified Buyers Performance 3.5 Battery 3 Design 3.5 Display 4 Value for Money 2.3
itm3680fb576eb7b,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,4.2,592,"₹47,290","4 Very Good 3 years ago I did a lot of research before buying this laptop ... more Alankrit Ghosh Verified Buyer 627 122 || 4 Delightful 4 years ago Good design
Good quality
Good keypad
Good touch pa... more Flipkart Customer Verified Buyer 140 27 || 4 Good quality product 4 years ago Nice one Senthil Verified Buyer 115 26"
itm76f0e5d975817,Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,4.1,11,"₹71,999","5 Brilliant 1 year ago The Laptop Is The Best In The Budget Of 50K. It Gi... more Devanshu Pote Verified Buyer 25 3 || 5 Super! 1 year ago Amazing laptop💻, go for it Vikash Kumar Verified Buyer 13 2 || 5 Simply awesome 1 year ago Awesome product Kishore Motipalli Verified Buyer 3 0"
itm8a59041fc8c0f,Lenovo IdeaPad Slim 5 Co-Pilot Next Gen AI PC Full Metal with 1Yr ADP Snapdragon X Plus - (16 GB/1 TB ...,4.1,92,"₹89,750","4 Delightful 1 year ago Good Deal under 70k!

Software Support :
Almost ev... more Rajeev Ranjan Verified Buyer 499 37 || 4 Nice product 1 year ago I am writing this review after 1.5 months.
I am a ... more Rathin Baraiya Verified Buyer 30 2 || 4 Value-for-money 1 year ago Battery life and performance is pretty good, if yo... more Amlan  Gupta Verified Buyer 59 7"
